algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
GBFS,80x80,2,Local Cost Spiking,0,1,154,1230.0,1.8243324011564255,16,15,1280,1.63937546312809,,10,5,5,50
D*Lite,80x80,2,Local Cost Spiking,0,1,160,587.0,101.4937087893486,16,15,6430,99.72570277750492,,10,5,5,50
UCS,80x80,3,Local Cost Spiking,0,1,158,589.0,126.89349986612797,16,15,68836,125.46766363084316,,10,5,5,50
A*,80x80,3,Local Cost Spiking,0,1,158,589.0,121.5501669794321,16,15,57632,120.26061862707138,,10,5,5,50
wA*,80x80,3,Local Cost Spiking,0,1,156,581.0,88.05841952562332,16,15,39514,87.05387264490128,2.0,10,5,5,50
GBFS,80x80,3,Local Cost Spiking,0,1,154,1480.0,1.9162502139806747,16,15,1280,1.724041998386383,,10,5,5,50
D*Lite,80x80,3,Local Cost Spiking,0,1,158,597.0,102.40208357572556,16,15,6429,100.59207864105701,,10,5,5,50
UCS,80x80,4,Local Cost Spiking,0,1,162,637.0,130.43625093996525,17,16,70538,129.00104001164436,,10,5,5,50
A*,80x80,4,Local Cost Spiking,0,1,162,578.0,126.26753933727741,17,16,59914,124.95219893753529,,10,5,5,50
wA*,80x80,4,Local Cost Spiking,0,1,162,587.0,107.15795867145061,17,16,47671,106.02183267474174,2.0,10,5,5,50
GBFS,80x80,4,Local Cost Spiking,0,1,154,1209.0,1.8119588494300842,16,15,1280,1.6310010105371475,,10,5,5,50
D*Lite,80x80,4,Local Cost Spiking,0,1,162,639.0,101.5523336827755,17,16,6430,99.69107992947102,,10,5,5,50
UCS,80x80,5,Local Cost Spiking,0,1,164,578.0,128.1409990042448,17,16,69272,126.7044972628355,,10,5,5,50
A*,80x80,5,Local Cost Spiking,0,1,158,566.0,129.56354208290577,16,15,60793,128.22412140667439,,10,5,5,50
wA*,80x80,5,Local Cost Spiking,0,1,158,576.0,111.6863340139389,16,15,50023,110.51074415445328,2.0,10,5,5,50
GBFS,80x80,5,Local Cost Spiking,0,1,154,1299.0,1.7682090401649475,16,15,1280,1.590583473443985,,10,5,5,50
D*Lite,80x80,5,Local Cost Spiking,0,1,158,581.0,99.16749969124794,16,15,6303,97.39704243838787,,10,5,5,50
UCS,80x80,6,Local Cost Spiking,0,1,158,571.0,131.58637285232544,16,15,71164,130.0976239144802,,10,5,5,50
A*,80x80,6,Local Cost Spiking,0,1,162,548.0,121.57833762466908,17,16,56692,120.2975008636713,,10,5,5,50
wA*,80x80,6,Local Cost Spiking,0,1,158,584.0,111.45462654531002,16,15,49194,110.23896373808384,2.0,10,5,5,50
GBFS,80x80,6,Local Cost Spiking,0,1,154,1283.0,1.8544159829616547,16,15,1280,1.6692429780960083,,10,5,5,50
D*Lite,80x80,6,Local Cost Spiking,0,1,158,584.0,101.1933758854866,16,15,6347,99.3977040052414,,10,5,5,50
