algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
wA*,40x40,7,Local Cost Spiking,0,1,74,258.0,14.406582340598106,8,7,6341,14.16778564453125,2.0,10,5,5,50
GBFS,40x40,7,Local Cost Spiking,0,1,74,635.0,0.5033742636442184,8,7,320,0.4199165850877762,,10,5,5,50
D*Lite,40x40,7,Local Cost Spiking,0,1,74,258.0,24.703124538064003,8,7,1507,23.95087480545044,,10,5,5,50
UCS,40x40,8,Local Cost Spiking,0,1,78,274.0,16.194500029087067,8,7,8508,15.922248363494873,,10,5,5,50
A*,40x40,8,Local Cost Spiking,0,1,78,286.0,15.65270870923996,8,7,7215,15.397455543279648,,10,5,5,50
wA*,40x40,8,Local Cost Spiking,0,1,80,301.0,11.818207800388336,8,7,5222,11.572666466236115,2.0,10,5,5,50
GBFS,40x40,8,Local Cost Spiking,0,1,74,607.0,0.46941637992858887,8,7,320,0.38862600922584534,,10,5,5,50
D*Lite,40x40,8,Local Cost Spiking,0,1,78,286.0,23.281333968043327,8,7,1568,22.541625425219536,,10,5,5,50
UCS,40x40,9,Local Cost Spiking,0,1,78,256.0,14.403542503714561,8,7,8429,14.163712039589882,,10,5,5,50
A*,40x40,9,Local Cost Spiking,0,1,78,268.0,14.710582792758942,8,7,7253,14.417953789234161,,10,5,5,50
wA*,40x40,9,Local Cost Spiking,0,1,76,265.0,12.071873992681503,8,7,5628,11.867960914969444,2.0,10,5,5,50
GBFS,40x40,9,Local Cost Spiking,0,1,74,780.0,0.5327071994543076,8,7,320,0.4409998655319214,,10,5,5,50
D*Lite,40x40,9,Local Cost Spiking,0,1,78,268.0,23.9823330193758,8,7,1545,23.261288180947304,,10,5,5,50
UCS,80x80,0,Local Cost Spiking,0,1,158,587.0,134.15387459099293,16,15,68891,132.43425264954567,,10,5,5,50
A*,80x80,0,Local Cost Spiking,0,1,160,603.0,125.65741688013077,16,15,58775,124.32787381112576,,10,5,5,50
wA*,80x80,0,Local Cost Spiking,0,1,160,607.0,107.73699916899204,16,15,48096,106.55020922422409,2.0,10,5,5,50
GBFS,80x80,0,Local Cost Spiking,0,1,154,1628.0,1.842249184846878,16,15,1280,1.6550831496715546,,10,5,5,50
D*Lite,80x80,0,Local Cost Spiking,0,1,154,561.0,99.05862435698509,16,15,6294,97.2173698246479,,10,5,5,50
UCS,80x80,1,Local Cost Spiking,0,1,158,585.0,127.90816649794579,16,15,71579,126.37750804424286,,10,5,5,50
A*,80x80,1,Local Cost Spiking,0,1,158,594.0,124.02516603469849,16,15,60403,122.72579781711102,,10,5,5,50
wA*,80x80,1,Local Cost Spiking,0,1,156,589.0,103.71420718729496,16,15,48031,102.58829407393932,2.0,10,5,5,50
GBFS,80x80,1,Local Cost Spiking,0,1,154,1385.0,1.7339587211608887,16,15,1280,1.5602931380271912,,10,5,5,50
D*Lite,80x80,1,Local Cost Spiking,0,1,156,593.0,97.66050055623055,16,15,6390,95.88024765253067,,10,5,5,50
UCS,80x80,2,Local Cost Spiking,0,1,158,575.0,131.54879212379456,16,15,70974,129.9705784767866,,10,5,5,50
A*,80x80,2,Local Cost Spiking,0,1,160,568.0,128.52787598967552,16,15,61285,127.15841829776764,,10,5,5,50
wA*,80x80,2,Local Cost Spiking,0,1,158,558.0,94.09725107252598,16,15,43003,92.9887481033802,2.0,10,5,5,50
GBFS,80x80,2,Local Cost Spiking,0,1,154,1230.0,1.7910413444042206,16,15,1280,1.6067419201135635,,10,5,5,50
D*Lite,80x80,2,Local Cost Spiking,0,1,160,587.0,98.57541508972645,16,15,6430,96.85508161783218,,10,5,5,50
UCS,80x80,3,Local Cost Spiking,0,1,158,589.0,124.142000451684,16,15,68836,122.70870432257652,,10,5,5,50
