algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,80x80,0,Path Ahead Spiking,10,1,164,665.0,127.54770927131176,17,16,68331,126.13375298678875,,10,5,5,50
A*,80x80,0,Path Ahead Spiking,10,1,162,702.0,121.82374857366085,17,16,57805,120.52129209041595,,10,5,5,50
wA*,80x80,0,Path Ahead Spiking,10,1,158,668.0,119.93070878088474,16,15,55561,118.71945299208164,2.0,10,5,5,50
GBFS,80x80,0,Path Ahead Spiking,10,1,154,4428.0,1.7089582979679108,16,15,1280,1.5857964754104614,,10,5,5,50
D*Lite,80x80,0,Path Ahead Spiking,10,1,168,795.0,120.94404175877571,17,16,7756,119.07929554581642,,10,5,5,50
UCS,80x80,1,Path Ahead Spiking,10,1,160,629.0,134.28583182394505,16,15,73312,132.7705830335617,,10,5,5,50
A*,80x80,1,Path Ahead Spiking,10,1,170,664.0,130.47241605818272,17,16,62958,129.1795801371336,,10,5,5,50
wA*,80x80,1,Path Ahead Spiking,10,1,160,685.0,113.38620819151402,16,15,51981,112.21299320459366,2.0,10,5,5,50
GBFS,80x80,1,Path Ahead Spiking,10,1,154,4435.0,1.7114169895648956,16,15,1280,1.587124541401863,,10,5,5,50
D*Lite,80x80,1,Path Ahead Spiking,10,1,162,779.0,117.31295846402645,17,16,7488,115.51696062088013,,10,5,5,50
UCS,80x80,2,Path Ahead Spiking,10,1,176,647.0,147.49141596257687,18,17,80593,145.88920772075653,,10,5,5,50
A*,80x80,2,Path Ahead Spiking,10,1,172,701.0,141.49354211986065,18,17,69096,140.06107859313488,,10,5,5,50
wA*,80x80,2,Path Ahead Spiking,10,1,172,701.0,144.84895952045918,18,17,64949,143.38500052690506,2.0,10,5,5,50
GBFS,80x80,2,Path Ahead Spiking,10,1,154,4480.0,1.8451660871505737,16,15,1280,1.6947071999311447,,10,5,5,50
D*Lite,80x80,2,Path Ahead Spiking,10,1,172,684.0,116.37425050139427,18,17,7188,114.51616510748863,,10,5,5,50
UCS,80x80,3,Path Ahead Spiking,10,1,158,616.0,132.9889167100191,16,15,69601,131.47995807230473,,10,5,5,50
A*,80x80,3,Path Ahead Spiking,10,1,160,627.0,126.38100050389767,16,15,59330,125.13524852693081,,10,5,5,50
wA*,80x80,3,Path Ahead Spiking,10,1,162,741.0,96.71208262443542,17,16,43672,95.69675102829933,2.0,10,5,5,50
GBFS,80x80,3,Path Ahead Spiking,10,1,154,4430.0,1.686999574303627,16,15,1280,1.564202830195427,,10,5,5,50
D*Lite,80x80,3,Path Ahead Spiking,10,1,162,741.0,135.13783179223537,17,16,8224,133.28583911061287,,10,5,5,50
UCS,80x80,4,Path Ahead Spiking,10,1,168,618.0,143.98299902677536,17,16,75423,142.41729117929935,,10,5,5,50
A*,80x80,4,Path Ahead Spiking,10,1,170,674.0,139.0892919152975,17,16,65190,137.74429634213448,,10,5,5,50
wA*,80x80,4,Path Ahead Spiking,10,1,168,668.0,129.94725070893764,17,16,59908,128.60650382936,2.0,10,5,5,50
GBFS,80x80,4,Path Ahead Spiking,10,1,154,4409.0,1.7416253685951233,16,15,1280,1.6118288040161133,,10,5,5,50
D*Lite,80x80,4,Path Ahead Spiking,10,1,168,750.0,122.5576251745224,17,16,7501,120.72770670056343,,10,5,5,50
UCS,80x80,5,Path Ahead Spiking,10,1,158,583.0,133.13141651451588,16,15,70168,131.6801682114601,,10,5,5,50
A*,80x80,5,Path Ahead Spiking,10,1,160,643.0,125.18391758203506,16,15,58572,123.94312024116516,,10,5,5,50
wA*,80x80,5,Path Ahead Spiking,10,1,160,665.0,127.02375091612339,16,15,56701,125.74799731373787,2.0,10,5,5,50
GBFS,80x80,5,Path Ahead Spiking,10,1,154,4399.0,1.8163323402404785,16,15,1280,1.6885008662939072,,10,5,5,50
D*Lite,80x80,5,Path Ahead Spiking,10,1,166,756.0,121.46087363362312,17,16,7589,119.6106281131506,,10,5,5,50
UCS,80x80,6,Path Ahead Spiking,10,1,160,601.0,129.60175052285194,16,15,70616,128.1809639185667,,10,5,5,50
A*,80x80,6,Path Ahead Spiking,10,1,168,626.0,134.78129170835018,17,16,64795,133.43441858887672,,10,5,5,50
wA*,80x80,6,Path Ahead Spiking,10,1,164,633.0,111.19320802390575,17,16,48679,110.086465254426,2.0,10,5,5,50
GBFS,80x80,6,Path Ahead Spiking,10,1,154,4383.0,1.7805416136980057,16,15,1280,1.6532503068447113,,10,5,5,50
D*Lite,80x80,6,Path Ahead Spiking,10,1,164,800.0,125.72637386620045,17,16,7762,123.8881703466177,,10,5,5,50
UCS,80x80,7,Path Ahead Spiking,10,1,174,667.0,144.12541687488556,18,17,75532,142.5450872629881,,10,5,5,50
A*,80x80,7,Path Ahead Spiking,10,1,172,706.0,134.56529192626476,18,17,64164,133.23466666042805,,10,5,5,50
wA*,80x80,7,Path Ahead Spiking,10,1,168,675.0,123.9886675029993,17,16,56834,122.70520627498627,2.0,10,5,5,50
GBFS,80x80,7,Path Ahead Spiking,10,1,154,4430.0,1.7484165728092194,16,15,1280,1.6201213002204895,,10,5,5,50
D*Lite,80x80,7,Path Ahead Spiking,10,1,170,687.0,114.55516517162323,17,16,7233,112.72278986871243,,10,5,5,50
UCS,80x80,8,Path Ahead Spiking,10,1,166,619.0,145.09066566824913,17,16,76538,143.52133497595787,,10,5,5,50
A*,80x80,8,Path Ahead Spiking,10,1,166,670.0,139.97045904397964,17,16,67056,138.5701671242714,,10,5,5,50
wA*,80x80,8,Path Ahead Spiking,10,1,164,695.0,135.59837453067303,17,16,62375,134.24037769436836,2.0,10,5,5,50
GBFS,80x80,8,Path Ahead Spiking,10,1,154,4435.0,1.7041247338056564,16,15,1280,1.5809573233127594,,10,5,5,50
D*Lite,80x80,8,Path Ahead Spiking,10,1,164,742.0,112.9901260137558,17,16,7232,111.23187281191349,,10,5,5,50
UCS,80x80,9,Path Ahead Spiking,10,1,174,644.0,136.97708398103714,18,17,75386,135.44879108667374,,10,5,5,50
A*,80x80,9,Path Ahead Spiking,10,1,168,706.0,130.29895722866058,17,16,63792,128.98099794983864,,10,5,5,50
wA*,80x80,9,Path Ahead Spiking,10,1,166,708.0,127.51070782542229,17,16,58938,126.22875161468983,2.0,10,5,5,50
GBFS,80x80,9,Path Ahead Spiking,10,1,154,4360.0,1.675209030508995,16,15,1280,1.551913097500801,,10,5,5,50
D*Lite,80x80,9,Path Ahead Spiking,10,1,170,689.0,117.66449920833111,17,16,7476,115.81508256494999,,10,5,5,50
